2;1;0;
1.      Вы получили миллион долларов: ваши действия.;1.      Поделись со своим партнером самым неприятным моментом из твоей жизни;1.      Ваше любимое блюдо?;
2.      Выбирая из всех в мире, кого бы ты пригласил в гости на обед?;2.      Вспомни, когда и от чего ты в последний раз плакал.;2.      Есть ли у вас домашний питомец?;
3.      Хотел бы ты быть знаменитым? Чем бы ты хотел прославиться?;3.      Какая вещь тебе кажется настолько серьезной, что шутить о ней — невозможно?;3.      Умеете ли вы чинить вещи?;
4.      Каким тебе представляется идеальный день?;4.      Если бы ты должен был умереть в этот вечер, что важное бы ты хотел сказать и кому?;4.       Можете ли вы погладить рубашку?;
5.      Когда ты в последний раз пел наедине с собой? А для кого-то другого?;5.      Твой дом со всем твоим имуществом загорелся. После спасения близких у тебя есть время, чтобы вернуться в дом еще раз и спасти какую-то одну вещь. Что это за вещь и почему ты выбираешь ее?;5.       Какой ваш любимый цвет?;
6.      За что в своей жизни ты чувствуешь наибольшую благодарность?;6.      Смерть кого из членов твоей семьи задела бы тебя больше всего? Почему?;6.       Назовите Ваш любимый фильм?;
7.      Если бы ты мог проснуться завтра, приобретя определенное качество или способность, то какое/какую?;7.      Поделись личной проблемой и попроси партнера посоветовать, как ее решить.;7.      Как часто вы читаете книги?;
8.      Если бы хрустальный шар мог рассказать тебе правду о твоей жизни, о будущем или о чем-нибудь еще, что бы ты хотел узнать?;8.      У тебя есть тайное предчувствие о том, как ты умрешь?;8.       Вы любите рисовать?;
9.      Есть ли что-то, что ты мечтал делать в течение длительного времени? Почему ты не сделал этого?;9.      Самое страшное воспоминание?;9.      Умеете ли вы играть на музыкальных инструментах?;
10.  Назови самое большое достижение в своей жизни.;10.  Если бы ты знал, что в течение одного года ты внезапно умрешь, ты бы изменил что-нибудь в своей текущей жизни? Почему?;10.  Расскажите любимый анекдот;
11.  Что ты больше всего ценишь в друзьях?;11.  Любите ли одиночество?;11.  Как часто вы путешествуете?;
12.  Какое твое самое заветное воспоминание?;12.  О чем вы никому не рассказываете и очень сожалеете об этом?;12.  Есть ли у вас любимый город?;
13.  Помогают ли люди в вашей жизни вам проявить себя с лучшей стороны? ;13.  Не слишком ли часто вы поддаетесь на уговоры других, а потом чувствуете обиду и сожаление? ;13.  Как часто вы едите фрукты?;
14.  Что вы делали в последний раз, когда потеряли счет времени? ;14.  Держитесь ли вы за что-то, что нужно оставить позади? ;14.  Какое мороженное вы любите?;
15.  Будете ли вы счастливы, если вам больше не придется работать? ;15.  Как часто вы позволяете своим страхам удержать вас от действий? ;15.  Сколько будет 9*9?;
16.  Если бы вы могли попросить об исполнении одного желания, каким бы оно было? ;16.  Как часто вы отделываетесь от других оправданиями? ;16.  Какой материк на земле самый большой?;
17.  Что вдохновляет вас в жизни? ;17.  Какую ошибку вы больше никогда не повторите? ;17.  Что больше кг сахара или кг ваты?;
18.  Без чего вы больше всего не можете жить? ;18.  Что хуже — потерпеть неудачу или вовсе не пробовать? ;18.  Кто написал «Война и мир»? ;
19.  Что вам нравится делать снова и снова? ;19.  Как часто вы ложитесь спать с ощущением злобы или гнева? ;19.  Как часто вы гуляете на улице?;
20.  Когда вы в последний раз смеялись до боли в животе? ;20.  Плохо ли красть, чтобы накормить голодного ребенка? ;20.  Вы любите блинчики?;
21.  Что мешает вам жить той жизнью, какой вы хотите жить?;21.  Если бы вы уделяли больше внимания грустным аспектам жизни, испытывали бы вы больше внутренних конфликтов? ;21.  С чем вы едите блины?;
22.  Что приносит вам мир? ;22.  Если на ошибках учатся, почему так плохо терпеть поражение? ;22.  Как много воды в день вы пьёте?;
23.  Каково главное качество, которое вы ищете в других? ;23.  В чем вы сдались, опустили руки? ;23.  Прежде чем сделать телефонный звонок, ты когда-нибудь репетируешь то, что собираешься сказать? Почему?;
24.  Какова ваша главная мечта? ;24.  Сколько людей вы действительно любите и что вы делаете для них? ;24.  Что бы ты выбрал: сохранить в ближайшие 60 лет своей жизни тело или разум себя 30-летнего?;
25.  Каким был лучший день вашей жизни? Почему вы так считаете? ;25.  Достаточно ли вы задаете вопросов, или вы счастливы и тем, что и так уже знаете? ;25.  Если бы ты мог изменить что-либо в процессе своего воспитания, что бы это было?;
26.  Чего вы больше всего ждете в жизни? ;26.  Каков ваш главный страх? ;26.  Что значит дружба для тебя?;
27.  Что вам нравится в себе? ;27.  Как изменился бы мир, если бы вы не родились? ;27.  Какую роль любовь и привязанность играют в твоей жизни?;
28.  Сделали ли вы недавно что-то доброе? ;28.  От каких дурных привычек вы хотели бы отказаться? ;28.  Расскажи о своей первой любви. ;
;29.  Каковы ваши самые распространенные негативные мысли? Есть ли в них логика? ;29.  Что ты думаешь о своих отношениях с матерью?;
;30.  Считаете ли вы, что за некоторые вещи вам уже поздно браться? Почему? ;30.  Насколько близки члены твоей семьи? Считаешь ли ты, что твое детство было счастливее, чем у большинства других людей?;
;31.  Что люди скажут о вас на ваших похоронах? ;31.  . Продолжи эту фразу: «Мне бы хотелось разделить с кем-нибудь…»;
;;32.  Что должен знать о тебе партнер, с которым ты хочешь стать близкими друзьями?;
;;33.  У вас очень плохой почерк?;
;;34.  Стараетесь ли вы одеваться в одной цветовой гамме?;
;;35.  Любите ли вы посещать музеи?;
;;36.  Остановитесь ли по пути, чтобы полюбоваться закатом?;
;;37.  Вы любите чертить геометрические фигуры?;
;;38.  Часто ли посещаете художественные салоны?;
;;39.  Склонны ли вы долго бродить по улицам?;
;;40.  Слушаете ли вы музыку только ради развлечения?;
;;41.  Надолго ли запоминаете красивые пейзажи?;
;;42.  Кажутся ли вам очень красивыми морские камни?;
;;43.  Любите ли новые встречи и знакомства?;
;;44.  Нравится ли вам читать стихи вслух?;
;;45.  Не было ли желания разрисовать картинами стены своей комнаты?;
;;46.  Часто ли меняете прическу?;
;;47.  Часто ли переставляете мебель у себя дома?;
;;48.  Вы пробовали когда-нибудь сочинять песни?;
;;49.  Пишете ли вы стихи?;
;;50.  Когда вы в последний раз попробовали что-то новое? ;
;;51.  Боитесь ли вы выражать собственное мнение? ;
;;52.  Что больше помогло вашему личному росту — вызовы и испытания или приятные и уютные мгновения жизни? ;
;;53.  Если бы вы могли сделать так, чтобы в вашей жизни больше не было вызовов и препятствий, согласились бы вы на это? ;
;;54.  Что стоит между вами и вашей самой главной целью? Дайте ответ одним словом. ;
;;55.  Чему в жизни вы могли бы уделять больше внимания? ;
;;56.  Почему мы больше всего думаем о других людях, когда их нет рядом? ;
;;57.  Что это значит — выжать из вашей жизни максимум? ;
;;58.  Какие жизненные уроки вы хотели бы знать десять лет назад?;
;;59.  Если бы вы могли сказать самому себе в молодости что-то одно, что бы это могло быть? ;
;;;60.  Если бы ваша жизнь была фильмом, как бы он назывался? 
;;;61.  Если бы ваша жизнь была фильмом, понравилось бы вам его смотреть? 
;;;62.  Что для вас значит успех? 
;;;63.  Если бы вы могли стать другим человеком, то каким бы стали? 
;;;64.  Что вы узнали вчера? 
;;;65.  Когда люди с вами говорят, вы действительно слушаете? 
;;;66.  Что самое главное, что вам нужно изменить в своей жизни в этом году? 
;;;67.  Сколько часов в неделю вы проводите в интернете? 
